series_id,series_title,area_code,area_name,item_code,item_name,seasonal,periodicity_code,base_period,base_code
"CUSR0000SA0      ","All items in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SA0,"All items",S,R,1982-84=100,S
"CUSR0000SA0E     ","Energy in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SA0E,Energy,S,R,1982-84=100,S
"CUSR0000SA0L1    ","All items less food in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SA0L1,"All items less food",S,R,1982-84=100,S
"CUSR0000SA0L12   ","All items less food and shelter in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SA0L12,"All items less food and shelter",S,R,1982-84=100,S
"CUSR0000SA0L12E  ","All items less food, shelter, and energy in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SA0L12E,"All items less food, shelter, and energy",S,R,1982-84=100,S
"CUSR0000SA0L12E4 ","All items less food, shelter, energy, and used cars and trucks in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SA0L12E4,"All items less food, shelter, energy, and used cars and trucks",S,R,1982-84=100,S
"CUSR0000SA0L1E   ","All items less food and energy in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SA0L1E,"All items less food and energy",S,R,1982-84=100,S
"CUSR0000SA0L2    ","All items less shelter in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SA0L2,"All items less shelter",S,R,1982-84=100,S
"CUSR0000SA0L5    ","All items  less medical care in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SA0L5,"All items less medical care",S,R,1982-84=100,S
"CUSR0000SA0LE    ","All items less energy in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SA0LE,"All items less energy",S,R,1982-84=100,S
"CUSR0000SA311    ","Apparel less footwear in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SA311,"Apparel less footwear",S,R,1982-84=100,S
"CUSR0000SAA      ","Apparel in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAA,Apparel,S,R,1982-84=100,S
"CUSR0000SAA1     ","Men's and boys' apparel in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAA1,"Men's and boys' apparel",S,R,1982-84=100,S
"CUSR0000SAA2     ","Women's and girls' apparel in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAA2,"Women's and girls' apparel",S,R,1982-84=100,S
"CUSR0000SAC      ","Commodities in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAC,Commodities,S,R,1982-84=100,S
"CUSR0000SACE     ","Energy commodities in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SACE,"Energy commodities",S,R,1982-84=100,S
"CUSR0000SACL1    ","Commodities less food in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SACL1,"Commodities less food",S,R,1982-84=100,S
"CUSR0000SACL11   ","Commodities less food and beverages in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SACL11,"Commodities less food and beverages",S,R,1982-84=100,S
"CUSR0000SACL1E   ","Commodities less food and energy commodities in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SACL1E,"Commodities less food and energy commodities",S,R,1982-84=100,S
"CUSR0000SACL1E4  ","Commodities less food, energy, and used cars and trucks in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SACL1E4,"Commodities less food, energy, and used cars and trucks",S,R,1982-84=100,S
"CUSR0000SAD      ","Durables in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAD,Durables,S,R,1982-84=100,S
"CUSR0000SAE      ","Education and communication in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAE,"Education and communication",S,R,"DECEMBER 1997=100",S
"CUSR0000SAE1     ","Education in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAE1,Education,S,R,"DECEMBER 1997=100",S
"CUSR0000SAE2     ","Communication in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAE2,Communication,S,R,"DECEMBER 1997=100",S
"CUSR0000SAE21    ","Information and information processing in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAE21,"Information and information processing",S,R,"DECEMBER 1997=100",S
"CUSR0000SAEC     ","Education and communication commodities in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAEC,"Education and communication commodities",S,R,"DECEMBER 2009=100",S
"CUSR0000SAES     ","Education and communication services in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAES,"Education and communication services",S,R,"DECEMBER 2009=100",S
"CUSR0000SAF      ","Food and beverages in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAF,"Food and beverages",S,R,1982-84=100,S
"CUSR0000SAF1     ","Food in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAF1,Food,S,R,1982-84=100,S
"CUSR0000SAF11    ","Food at home in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAF11,"Food at home",S,R,1982-84=100,S
"CUSR0000SAF111   ","Cereals and bakery products in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAF111,"Cereals and bakery products",S,R,1982-84=100,S
"CUSR0000SAF112   ","Meats, poultry, fish, and eggs in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAF112,"Meats, poultry, fish, and eggs",S,R,1982-84=100,S
"CUSR0000SAF1121  ","Meats, poultry, and fish in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAF1121,"Meats, poultry, and fish",S,R,1982-84=100,S
"CUSR0000SAF11211 ","Meats in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAF11211,Meats,S,R,1982-84=100,S
"CUSR0000SAF113   ","Fruits and vegetables in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAF113,"Fruits and vegetables",S,R,1982-84=100,S
"CUSR0000SAF1131  ","Fresh fruits and vegetables in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAF1131,"Fresh fruits and vegetables",S,R,1982-84=100,S
"CUSR0000SAF114   ","Nonalcoholic beverages and beverage materials in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAF114,"Nonalcoholic beverages and beverage materials",S,R,1982-84=100,S
"CUSR0000SAF115   ","Other food at home in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAF115,"Other food at home",S,R,1982-84=100,S
"CUSR0000SAF116   ","Alcoholic beverages in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAF116,"Alcoholic beverages",S,R,1982-84=100,S
"CUSR0000SAG      ","Other goods and services in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAG,"Other goods and services",S,R,1982-84=100,S
"CUSR0000SAG1     ","Personal care in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAG1,"Personal care",S,R,1982-84=100,S
"CUSR0000SAGC     ","Other goods in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAGC,"Other goods",S,R,"DECEMBER 2009=100",S
"CUSR0000SAH      ","Housing in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAH,Housing,S,R,1982-84=100,S
"CUSR0000SAH1     ","Shelter in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAH1,Shelter,S,R,1982-84=100,S
"CUSR0000SAH2     ","Fuels and utilities in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAH2,"Fuels and utilities",S,R,1982-84=100,S
"CUSR0000SAH21    ","Household energy in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAH21,"Household energy",S,R,1982-84=100,S
"CUSR0000SAH3     ","Household furnishings and operations in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAH3,"Household furnishings and operations",S,R,1982-84=100,S
"CUSR0000SAH31    ","Household furnishings and supplies in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAH31,"Household furnishings and supplies",S,R,"DECEMBER 2009=100",S
"CUSR0000SAM      ","Medical care in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAM,"Medical care",S,R,1982-84=100,S
"CUSR0000SAM1     ","Medical care commodities in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAM1,"Medical care commodities",S,R,1982-84=100,S
"CUSR0000SAM2     ","Medical care services in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAM2,"Medical care services",S,R,1982-84=100,S
"CUSR0000SAN      ","Nondurables in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAN,Nondurables,S,R,1982-84=100,S
"CUSR0000SAN1D    ","Domestically produced farm food in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAN1D,"Domestically produced farm food",S,R,1982-84=100,S
"CUSR0000SANL1    ","Nondurables less food in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SANL1,"Nondurables less food",S,R,1982-84=100,S
"CUSR0000SANL11   ","Nondurables less food and beverages in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SANL11,"Nondurables less food and beverages",S,R,1982-84=100,S
"CUSR0000SANL113  ","Nondurables less food, beverages, and apparel in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SANL113,"Nondurables less food, beverages, and apparel",S,R,1982-84=100,S
"CUSR0000SANL13   ","Nondurables less food and apparel in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SANL13,"Nondurables less food and apparel",S,R,1982-84=100,S
"CUSR0000SAR      ","Recreation in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAR,Recreation,S,R,"DECEMBER 1997=100",S
"CUSR0000SARC     ","Recreation commodities in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SARC,"Recreation commodities",S,R,"DECEMBER 2009=100",S
"CUSR0000SARS     ","Recreation services in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SARS,"Recreation services",S,R,"DECEMBER 2009=100",S
"CUSR0000SAS      ","Services in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAS,Services,S,R,1982-84=100,S
"CUSR0000SAS24    ","Utilities and public transportation in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAS24,"Utilities and public transportation",S,R,1982-84=100,S
"CUSR0000SAS2RS   ","Rent of shelter in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAS2RS,"Rent of shelter",S,R,"DECEMBER 1982=100",S
"CUSR0000SAS367   ","Other services in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAS367,"Other services",S,R,1982-84=100,S
"CUSR0000SAS4     ","Transportation services in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAS4,"Transportation services",S,R,1982-84=100,S
"CUSR0000SASL2RS  ","Services less rent of shelter in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SASL2RS,"Services less rent of shelter",S,R,"DECEMBER 1982=100",S
"CUSR0000SASL5    ","Services less medical care services in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SASL5,"Services less medical care services",S,R,1982-84=100,S
"CUSR0000SASLE    ","Services less energy services in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SASLE,"Services less energy services",S,R,1982-84=100,S
"CUSR0000SAT      ","Transportation in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAT,Transportation,S,R,1982-84=100,S
"CUSR0000SAT1     ","Private transportation in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SAT1,"Private transportation",S,R,1982-84=100,S
"CUSR0000SATCLTB  ","Transportation commodities less motor fuel in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SATCLTB,"Transportation commodities less motor fuel",S,R,"DECEMBER 2009=100",S
"CUSR0000SEAA     ","Men's apparel in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAA,"Men's apparel",S,R,1982-84=100,S
"CUSR0000SEAA01   ","Men's suits, sport coats, and outerwear in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAA01,"Men's suits, sport coats, and outerwear",S,R,1982-84=100,S
"CUSR0000SEAA02   ","Men's underwear, nightwear, swimwear, and accessories in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAA02,"Men's underwear, nightwear, swimwear and accessories",S,R,1982-84=100,S
"CUSR0000SEAA03   ","Men's shirts and sweaters in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAA03,"Men's shirts and sweaters",S,R,"DECEMBER 1997=100",S
"CUSR0000SEAA04   ","Men's pants and shorts in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAA04,"Men's pants and shorts",S,R,1982-84=100,S
"CUSR0000SEAB     ","Boys' apparel in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAB,"Boys' apparel",S,R,1982-84=100,S
"CUSR0000SEAC     ","Women's apparel in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAC,"Women's apparel",S,R,1982-84=100,S
"CUSR0000SEAC01   ","Women's outerwear in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAC01,"Women's outerwear",S,R,1982-84=100,S
"CUSR0000SEAC02   ","Women's dresses in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAC02,"Women's dresses",S,R,1982-84=100,S
"CUSR0000SEAC03   ","Women's suits and separates in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAC03,"Women's suits and separates",S,R,"DECEMBER 1997=100",S
"CUSR0000SEAC04   ","Women's underwear, nightwear, swimwear, and accessories in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAC04,"Women's underwear, nightwear, swimwear and accessories",S,R,"DECEMBER 1997=100",S
"CUSR0000SEAD     ","Girls' apparel in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAD,"Girls' apparel",S,R,1982-84=100,S
"CUSR0000SEAE     ","Footwear in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAE,Footwear,S,R,1982-84=100,S
"CUSR0000SEAE01   ","Men's footwear in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAE01,"Men's footwear",S,R,1982-84=100,S
"CUSR0000SEAE02   ","Boys' and girls' footwear in U.S. city average, all urban consumers, seasonally adjusted",0000,"U.S. city average",SEAE02,"Boys' and girls' footwear",S,R,1982-84=100,S
