series_id,year,period,month_num,obs_date,cpi_value,footnote_codes
"CUSR0000SA0      ",1947,M01,1,1947-01-01,21.480,NULL
"CUSR0000SA0      ",1947,M02,2,1947-02-01,21.620,NULL
"CUSR0000SA0      ",1947,M03,3,1947-03-01,22.000,NULL
"CUSR0000SA0      ",1947,M04,4,1947-04-01,22.000,NULL
"CUSR0000SA0      ",1947,M05,5,1947-05-01,21.950,NULL
"CUSR0000SA0      ",1947,M06,6,1947-06-01,22.080,NULL
"CUSR0000SA0      ",1947,M07,7,1947-07-01,22.230,NULL
"CUSR0000SA0      ",1947,M08,8,1947-08-01,22.400,NULL
"CUSR0000SA0      ",1947,M09,9,1947-09-01,22.840,NULL
"CUSR0000SA0      ",1947,M10,10,1947-10-01,22.910,NULL
"CUSR0000SA0      ",1947,M11,11,1947-11-01,23.060,NULL
"CUSR0000SA0      ",1947,M12,12,1947-12-01,23.410,NULL
"CUSR0000SA0      ",1948,M01,1,1948-01-01,23.680,NULL
"CUSR0000SA0      ",1948,M02,2,1948-02-01,23.670,NULL
"CUSR0000SA0      ",1948,M03,3,1948-03-01,23.500,NULL
"CUSR0000SA0      ",1948,M04,4,1948-04-01,23.820,NULL
"CUSR0000SA0      ",1948,M05,5,1948-05-01,24.010,NULL
"CUSR0000SA0      ",1948,M06,6,1948-06-01,24.150,NULL
"CUSR0000SA0      ",1948,M07,7,1948-07-01,24.400,NULL
"CUSR0000SA0      ",1948,M08,8,1948-08-01,24.430,NULL
"CUSR0000SA0      ",1948,M09,9,1948-09-01,24.360,NULL
"CUSR0000SA0      ",1948,M10,10,1948-10-01,24.310,NULL
"CUSR0000SA0      ",1948,M11,11,1948-11-01,24.160,NULL
"CUSR0000SA0      ",1948,M12,12,1948-12-01,24.050,NULL
"CUSR0000SA0      ",1949,M01,1,1949-01-01,24.010,NULL
"CUSR0000SA0      ",1949,M02,2,1949-02-01,23.910,NULL
"CUSR0000SA0      ",1949,M03,3,1949-03-01,23.910,NULL
"CUSR0000SA0      ",1949,M04,4,1949-04-01,23.920,NULL
"CUSR0000SA0      ",1949,M05,5,1949-05-01,23.910,NULL
"CUSR0000SA0      ",1949,M06,6,1949-06-01,23.920,NULL
