obs_date,series_id,series_title,cpi_index,cpi_index_12m_ago,inflation_yoy_pct
1913-01-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",9.800,NULL,NULL
1913-02-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",9.800,NULL,NULL
1913-03-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",9.800,NULL,NULL
1913-04-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",9.800,NULL,NULL
1913-05-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",9.700,NULL,NULL
1913-06-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",9.800,NULL,NULL
1913-07-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",9.900,NULL,NULL
1913-08-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",9.900,NULL,NULL
1913-09-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.000,NULL,NULL
1913-10-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.000,NULL,NULL
1913-11-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.100,NULL,NULL
1913-12-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.000,NULL,NULL
1914-01-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.000,9.800,2.0408163
1914-02-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",9.900,9.800,1.0204082
1914-03-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",9.900,9.800,1.0204082
1914-04-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",9.800,9.800,0.0000000
1914-05-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",9.900,9.700,2.0618557
1914-06-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",9.900,9.800,1.0204082
1914-07-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.000,9.900,1.0101010
1914-08-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.200,9.900,3.0303030
1914-09-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.200,10.000,2.0000000
1914-10-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.100,10.000,1.0000000
1914-11-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.200,10.100,0.9900990
1914-12-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.100,10.000,1.0000000
1915-01-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.100,10.000,1.0000000
1915-02-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.000,9.900,1.0101010
1915-03-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",9.900,9.900,0.0000000
1915-04-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.000,9.800,2.0408163
1915-05-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.100,9.900,2.0202020
1915-06-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.100,9.900,2.0202020
1915-07-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.100,10.000,1.0000000
1915-08-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.100,10.200,-0.9803922
1915-09-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.100,10.200,-0.9803922
1915-10-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.200,10.100,0.9900990
1915-11-01,"CUUR0000SA0      ","All items in U.S. city average, all urban consumers, not seasonally adjusted",10.300,10.200,0.9803922
